id;model_name;date;best_acc_train;best_acc_test;loss_train(last);loss_test(last);best_f1_score_train;best_f1_score_test;best_auc_train;best_auc_test;epochs;batch_size;learning_rate;sample_size;test_frac;gpu
0;first_0-001;2019-07-27;0.871;0.6707;0.3138;0.7399;0.8109999999999999;0.3999;0.9462;0.6009;3;128;0.001;400;0.2;0
1;first_0-001;2019-07-27;0.8875;0.7;0.2721;0.8384;0.8378;0.3157;0.9502;0.6116;3;128;0.001;400;0.2;0
2;first-20epochs-0-001;2019-07-27;1.0;0.65;0.0004;2.4523;1.0;0.4857;1.0;0.5956;20;128;0.001;400;0.2;0
3;first-20epochs-0-001-bigger;2019-07-27;1.0;0.6617;0.0005;3.0164;1.0;0.5;1.0;0.5864;20;128;0.001;400;0.2;0
4;dropout20;2019-07-27;1.0;0.6973;0.0004;3.0417;1.0;0.3773;1.0;0.4881;20;128;0.001;400;0.2;0
5;norm-dropout;2019-07-27;1.0;0.6666;0.0005;2.3768;1.0;0.3714;1.0;0.5096;20;128;0.001;400;0.2;0
6;norm-dropout;2019-07-27;1.0;0.7272;0.0037;2.3504;1.0;0.3396;1.0;0.4991;20;128;0.001;400;0.2;0
7;too-much-filters;2019-07-27;1.0;0.6391;0.0019;2.8229;1.0;0.3720000000000001;1.0;0.493;20;128;0.001;400;0.2;0
8;frac01;2019-07-27;0.9078;0.6393;0.2299;1.1532;0.8799;0.4921;0.9657;0.6281;10;128;0.001;4004;0.2;0
9;frac1;2019-07-27;0.965;0.7008;0.0885;1.7733;0.9532;0.588;0.9948;0.7336;20;128;0.001;40040;0.2;0
10;frac3;2019-07-27;0.9523;0.7252;0.1202;1.3568;0.9357;0.6356;0.9905;0.7714;20;128;0.001;120120;0.2;0
